SrcEntity	TgtEntity	Score
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C100093	http://purl.obolibrary.org/obo/DOID_4439	0.91145921
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C101029	http://purl.obolibrary.org/obo/DOID_0050651	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C101038	http://purl.obolibrary.org/obo/DOID_0080110	0.92901993
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C101044	http://purl.obolibrary.org/obo/DOID_0080073	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C101074	http://purl.obolibrary.org/obo/DOID_10487	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C101201	http://purl.obolibrary.org/obo/DOID_0060326	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C101209	http://purl.obolibrary.org/obo/DOID_1088	0.95909947
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C101214	http://purl.obolibrary.org/obo/DOID_0080016	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C101216	http://purl.obolibrary.org/obo/DOID_423	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C101219	http://purl.obolibrary.org/obo/DOID_0080200	0.95542967
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C101253	http://purl.obolibrary.org/obo/DOID_520	0.97056979
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C101254	http://purl.obolibrary.org/obo/DOID_2388	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C101270	http://purl.obolibrary.org/obo/DOID_12043	0.9919886
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C101328	http://purl.obolibrary.org/obo/DOID_699	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C101334	http://purl.obolibrary.org/obo/DOID_0060159	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C102820	http://purl.obolibrary.org/obo/DOID_4560	0.96081376
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C102870	http://purl.obolibrary.org/obo/DOID_5351	0.92065239
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C102872	http://purl.obolibrary.org/obo/DOID_0050921	0.90184259
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C102979	http://purl.obolibrary.org/obo/DOID_11111	0.90633804
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C103817	http://purl.obolibrary.org/obo/DOID_10283	0.91968876
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C103921	http://purl.obolibrary.org/obo/DOID_0050453	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C105595	http://purl.obolibrary.org/obo/DOID_1088	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C107377	http://purl.obolibrary.org/obo/DOID_17	0.97890878
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C110923	http://purl.obolibrary.org/obo/DOID_8886	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C110940	http://purl.obolibrary.org/obo/DOID_9410	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C111648	http://purl.obolibrary.org/obo/DOID_0060674	0.92735314
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C111692	http://purl.obolibrary.org/obo/DOID_0050804	0.97263491
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C111693	http://purl.obolibrary.org/obo/DOID_0050806	0.96877283
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C111694	http://purl.obolibrary.org/obo/DOID_0050803	0.9699136
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C111695	http://purl.obolibrary.org/obo/DOID_0050805	0.97845954
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C111802	http://purl.obolibrary.org/obo/DOID_2729	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C111814	http://purl.obolibrary.org/obo/DOID_0060833	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C111888	http://purl.obolibrary.org/obo/DOID_8741	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C111963	http://purl.obolibrary.org/obo/DOID_3309	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C112181	http://purl.obolibrary.org/obo/DOID_11917	0.93268734
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C112183	http://purl.obolibrary.org/obo/DOID_9423	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C112198	http://purl.obolibrary.org/obo/DOID_0060312	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C112200	http://purl.obolibrary.org/obo/DOID_1943	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C112210	http://purl.obolibrary.org/obo/DOID_865	0.9475559
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C112831	http://purl.obolibrary.org/obo/DOID_1702	0.92369896
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C112843	http://purl.obolibrary.org/obo/DOID_13129	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C113144	http://purl.obolibrary.org/obo/DOID_1459	0.94695705
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C113170	http://purl.obolibrary.org/obo/DOID_2856	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C113335	http://purl.obolibrary.org/obo/DOID_12466	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C113347	http://purl.obolibrary.org/obo/DOID_0090070	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C113400	http://purl.obolibrary.org/obo/DOID_11823	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C113824	http://purl.obolibrary.org/obo/DOID_13576	0.99013972
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C114281	http://purl.obolibrary.org/obo/DOID_10301	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C114346	http://purl.obolibrary.org/obo/DOID_1557	0.94261009
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C114357	http://purl.obolibrary.org/obo/DOID_676	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C114656	http://purl.obolibrary.org/obo/DOID_5631	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C114666	http://purl.obolibrary.org/obo/DOID_0050859	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C114667	http://purl.obolibrary.org/obo/DOID_585	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C114696	http://purl.obolibrary.org/obo/DOID_14146	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C114705	http://purl.obolibrary.org/obo/DOID_0080108	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C114766	http://purl.obolibrary.org/obo/DOID_0060235	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C114767	http://purl.obolibrary.org/obo/DOID_14695	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C114768	http://purl.obolibrary.org/obo/DOID_0050466	0.92015773
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C114769	http://purl.obolibrary.org/obo/DOID_0050524	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C114770	http://purl.obolibrary.org/obo/DOID_0050427	0.91693962
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C114771	http://purl.obolibrary.org/obo/DOID_0050427	0.91406435
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C114821	http://purl.obolibrary.org/obo/DOID_12466	0.95369023
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C114828	http://purl.obolibrary.org/obo/DOID_0050929	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C114899	http://purl.obolibrary.org/obo/DOID_0060334	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C114902	http://purl.obolibrary.org/obo/DOID_0060639	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C114906	http://purl.obolibrary.org/obo/DOID_12573	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C114940	http://purl.obolibrary.org/obo/DOID_176	0.90694708
